epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1294.2,1.50593,1.07696,1.35176,0.36592,0.347,0.34367,0.15036,2.28846,2.2822,1.92691,0.000990365,0.000990365,0.000990365
43,1324.58,1.49353,1.042,1.34752,0.32386,0.35015,0.31867,0.14467,2.25094,2.24095,1.96702,0.000973861,0.000973861,0.000973861
44,1358.04,1.48453,1.0425,1.34088,0.34868,0.38389,0.34462,0.13909,2.36661,2.18438,2.01731,0.000957358,0.000957358,0.000957358
45,1386.63,1.47582,1.03103,1.33572,0.34131,0.36469,0.33261,0.13225,2.3602,2.11701,2.02347,0.000940855,0.000940855,0.000940855
46,1416.44,1.50354,1.04105,1.3598,0.33795,0.36117,0.33101,0.14166,2.2906,2.08374,1.97535,0.000924352,0.000924352,0.000924352
47,1446.89,1.46764,1.02181,1.32405,0.37944,0.33217,0.32128,0.14341,2.29059,2.09202,1.93661,0.000907848,0.000907848,0.000907848
48,1474.8,1.46033,0.99396,1.33867,0.30275,0.44087,0.33785,0.13656,2.37341,2.20605,1.96697,0.000891345,0.000891345,0.000891345
49,1505.88,1.4444,0.99492,1.31888,0.32502,0.36345,0.32452,0.14087,2.37343,2.16884,2.00926,0.000874842,0.000874842,0.000874842
50,1537.06,1.43191,0.98109,1.30615,0.35984,0.39864,0.33292,0.14169,2.40228,2.05928,2.06187,0.000858338,0.000858338,0.000858338
51,1566.57,1.4559,1.01992,1.33454,0.35499,0.36812,0.33766,0.14981,2.35204,2.48643,1.97458,0.000841835,0.000841835,0.000841835
52,1596.75,1.42223,0.9734,1.29902,0.50088,0.3456,0.34343,0.14502,2.30587,2.14945,1.97608,0.000825332,0.000825332,0.000825332
53,1623.71,1.41784,0.97073,1.29128,0.40276,0.35184,0.33521,0.14505,2.37049,2.1212,2.01227,0.000808828,0.000808828,0.000808828
54,1653.77,1.41535,0.96663,1.29734,0.41487,0.31517,0.33348,0.14536,2.38824,2.19152,2.07532,0.000792325,0.000792325,0.000792325
55,1683.69,1.39272,0.94434,1.28617,0.4096,0.35881,0.35012,0.14702,2.32019,2.26296,1.97827,0.000775822,0.000775822,0.000775822
56,1716.64,1.38717,0.94164,1.28285,0.39238,0.35096,0.32634,0.13166,2.37543,2.35192,2.02887,0.000759318,0.000759318,0.000759318
57,1744.57,1.4011,0.95332,1.28133,0.35961,0.3524,0.32346,0.13196,2.40183,2.25272,2.02775,0.000742815,0.000742815,0.000742815
58,1775.23,1.36509,0.92427,1.27529,0.39339,0.36804,0.34337,0.14807,2.32107,2.35916,2.0037,0.000726312,0.000726312,0.000726312
59,1804.14,1.34807,0.89935,1.27162,0.4719,0.32059,0.35423,0.15761,2.30152,2.17355,1.94927,0.000709809,0.000709809,0.000709809
60,1832.52,1.33336,0.8764,1.25618,0.37142,0.33922,0.32911,0.13733,2.44001,2.31143,2.05782,0.000693305,0.000693305,0.000693305
61,1862.49,1.3355,0.89012,1.24716,0.33129,0.40824,0.33976,0.15566,2.31475,2.18694,2.00294,0.000676802,0.000676802,0.000676802
62,1891.11,1.33565,0.89174,1.25298,0.37367,0.32919,0.32628,0.14144,2.34857,2.33852,1.99385,0.000660299,0.000660299,0.000660299
63,1922.45,1.3176,0.87031,1.24018,0.42111,0.36812,0.34391,0.15353,2.35455,2.1419,2.02827,0.000643795,0.000643795,0.000643795
64,1952.89,1.32783,0.87405,1.24413,0.36269,0.37292,0.33057,0.15211,2.31838,2.33936,1.9652,0.000627292,0.000627292,0.000627292
65,1980.4,1.32268,0.86414,1.24527,0.35281,0.32677,0.2874,0.12217,2.41745,2.36198,2.09028,0.000610789,0.000610789,0.000610789
66,2009.74,1.31484,0.85217,1.2454,0.38664,0.31759,0.30866,0.13025,2.4237,2.4496,2.07934,0.000594286,0.000594286,0.000594286
67,2040.35,1.31108,0.86134,1.24129,0.37352,0.36574,0.32065,0.14162,2.38941,2.40351,2.06704,0.000577782,0.000577782,0.000577782
68,2067.47,1.27674,0.84926,1.23449,0.38063,0.33195,0.33136,0.13665,2.3916,2.35885,2.07264,0.000561279,0.000561279,0.000561279
69,2101.19,1.28625,0.8489,1.2315,0.34285,0.34758,0.31455,0.14104,2.3335,2.34358,2.03633,0.000544776,0.000544776,0.000544776
70,2131.79,1.24608,0.79037,1.20833,0.30607,0.39089,0.3206,0.14571,2.39904,2.24723,2.09944,0.000528272,0.000528272,0.000528272
71,2159.5,1.24906,0.80212,1.20161,0.32477,0.36547,0.30646,0.13329,2.42462,2.37382,2.1312,0.000511769,0.000511769,0.000511769
72,2188.76,1.26981,0.81727,1.20777,0.38149,0.33833,0.32343,0.13872,2.39639,2.5202,2.06545,0.000495266,0.000495266,0.000495266
73,2218.8,1.25163,0.81073,1.20436,0.36511,0.33531,0.29838,0.12166,2.43746,2.4818,2.15325,0.000478762,0.000478762,0.000478762
74,2245.67,1.23232,0.78537,1.19505,0.43126,0.3277,0.32456,0.13957,2.36458,2.41627,2.08412,0.000462259,0.000462259,0.000462259
75,2278.59,1.22356,0.78302,1.19305,0.37156,0.36855,0.32279,0.15181,2.33239,2.50194,1.99866,0.000445756,0.000445756,0.000445756
76,2309.45,1.23643,0.77824,1.19364,0.33955,0.3487,0.29643,0.12851,2.41981,2.64258,2.14662,0.000429253,0.000429253,0.000429253
77,2337.41,1.22186,0.76768,1.17526,0.36951,0.36956,0.33148,0.14641,2.37871,2.45799,2.10733,0.000412749,0.000412749,0.000412749
78,2366.82,1.21292,0.76348,1.16441,0.33835,0.33671,0.30567,0.1368,2.4167,2.5352,2.0968,0.000396246,0.000396246,0.000396246
79,2396.9,1.1981,0.76338,1.17818,0.40974,0.33489,0.32848,0.14187,2.40878,2.69574,2.13847,0.000379743,0.000379743,0.000379743
80,2424.33,1.18199,0.7414,1.16436,0.40881,0.32358,0.31663,0.12956,2.39111,2.72285,2.10573,0.000363239,0.000363239,0.000363239
81,2454.31,1.19346,0.74195,1.16559,0.33949,0.37522,0.32939,0.15012,2.32108,2.56531,2.06055,0.000346736,0.000346736,0.000346736
82,2487.78,1.19044,0.74204,1.15675,0.39285,0.34173,0.3323,0.14109,2.40992,2.56927,2.16164,0.000330233,0.000330233,0.000330233
83,2515.52,1.18272,0.74819,1.1599,0.34567,0.36094,0.31433,0.14731,2.33374,2.49953,2.10692,0.000313729,0.000313729,0.000313729
84,2546.11,1.15671,0.73381,1.15736,0.35143,0.36876,0.31237,0.13689,2.38443,2.54204,2.12137,0.000297226,0.000297226,0.000297226
85,2574.83,1.16942,0.7403,1.1612,0.36495,0.32809,0.31186,0.1451,2.34296,2.58566,2.07285,0.000280723,0.000280723,0.000280723
86,2603.47,1.16972,0.71829,1.1469,0.34085,0.3396,0.3072,0.14061,2.38314,2.64565,2.09846,0.00026422,0.00026422,0.00026422
87,2633.89,1.15655,0.71114,1.14673,0.33661,0.33605,0.30817,0.14024,2.40976,2.54062,2.14241,0.000247716,0.000247716,0.000247716
88,2662.2,1.1453,0.72347,1.15199,0.39514,0.33343,0.31896,0.13839,2.37762,2.4722,2.17729,0.000231213,0.000231213,0.000231213
89,2693.26,1.10781,0.69591,1.12506,0.34464,0.33756,0.3066,0.14167,2.3651,2.49042,2.12815,0.00021471,0.00021471,0.00021471
90,2723.05,1.13719,0.71534,1.13966,0.36196,0.31253,0.31129,0.14405,2.38776,2.50368,2.1683,0.000198206,0.000198206,0.000198206
91,2752.91,1.12158,0.68555,1.14655,0.39245,0.29524,0.29739,0.13946,2.36014,2.50783,2.112,0.000181703,0.000181703,0.000181703
92,2785.8,1.10526,0.64638,1.12815,0.40138,0.30378,0.30306,0.13393,2.41145,2.49904,2.20491,0.0001652,0.0001652,0.0001652
93,2815.49,1.0981,0.64647,1.13414,0.38581,0.31104,0.30455,0.13593,2.47041,2.52265,2.25034,0.000148696,0.000148696,0.000148696
94,2842.64,1.0791,0.63013,1.11869,0.4232,0.30369,0.30509,0.13883,2.45118,2.56131,2.22369,0.000132193,0.000132193,0.000132193
95,2872.88,1.06333,0.61449,1.11689,0.35276,0.32878,0.30393,0.13788,2.43691,2.50525,2.23066,0.00011569,0.00011569,0.00011569
96,2900.66,1.07813,0.6183,1.1156,0.35757,0.34237,0.30708,0.14105,2.42453,2.53169,2.22066,9.91865e-05,9.91865e-05,9.91865e-05
97,2929.42,1.0478,0.61,1.11282,0.34968,0.33081,0.29823,0.13609,2.4459,2.56628,2.23946,8.26832e-05,8.26832e-05,8.26832e-05
98,2963.04,1.04002,0.61025,1.09856,0.37982,0.34555,0.31201,0.14088,2.45018,2.56849,2.23633,6.61799e-05,6.61799e-05,6.61799e-05
99,2990.27,1.03754,0.60218,1.10315,0.3564,0.33173,0.30622,0.13673,2.44493,2.5815,2.24556,4.96766e-05,4.96766e-05,4.96766e-05
100,3019.8,1.05822,0.61511,1.12335,0.36804,0.34132,0.30875,0.1399,2.44268,2.55416,2.24973,3.31733e-05,3.31733e-05,3.31733e-05
