epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1328.37,1.39474,0.97313,1.21848,0.3659,0.34585,0.31292,0.12673,2.10968,1.61821,1.65664,0.000990365,0.000990365,0.000990365
43,1358.65,1.38628,0.9507,1.22291,0.32175,0.38814,0.31889,0.13932,2.02177,1.55913,1.59386,0.000973861,0.000973861,0.000973861
44,1390.14,1.36542,0.95376,1.20832,0.38619,0.33212,0.31994,0.13336,2.06242,1.52666,1.62872,0.000957358,0.000957358,0.000957358
45,1422.01,1.36042,0.93905,1.20593,0.37987,0.34215,0.31511,0.12265,2.0957,1.56164,1.66737,0.000940855,0.000940855,0.000940855
46,1452.93,1.35347,0.92014,1.20646,0.2797,0.35728,0.31928,0.13981,2.00261,1.55571,1.5849,0.000924352,0.000924352,0.000924352
47,1486.05,1.32963,0.91909,1.18611,0.39936,0.32443,0.31412,0.13548,2.00152,1.59526,1.59417,0.000907848,0.000907848,0.000907848
48,1515.96,1.32363,0.89914,1.19647,0.41502,0.36,0.3318,0.14101,2.01399,1.53369,1.61068,0.000891345,0.000891345,0.000891345
49,1547.31,1.29732,0.8909,1.17614,0.363,0.32575,0.30672,0.12881,2.07694,1.65022,1.65025,0.000874842,0.000874842,0.000874842
50,1578.39,1.28696,0.86525,1.16102,0.35432,0.33778,0.30218,0.12883,2.05623,1.64409,1.66382,0.000858338,0.000858338,0.000858338
51,1608.95,1.29918,0.88628,1.17362,0.38822,0.32439,0.30483,0.12731,2.06105,1.62807,1.64525,0.000841835,0.000841835,0.000841835
52,1638.76,1.26993,0.8584,1.15724,0.42111,0.33458,0.32524,0.1306,2.08544,1.59539,1.66944,0.000825332,0.000825332,0.000825332
53,1669.94,1.27151,0.86374,1.15146,0.36121,0.35082,0.31544,0.13286,2.02484,1.6464,1.62894,0.000808828,0.000808828,0.000808828
54,1703.01,1.25921,0.84886,1.15466,0.36557,0.34538,0.30442,0.12674,2.05436,1.70494,1.63201,0.000792325,0.000792325,0.000792325
55,1734.69,1.24599,0.82069,1.14351,0.35813,0.3421,0.29776,0.12655,1.97313,1.68584,1.60752,0.000775822,0.000775822,0.000775822
56,1764.39,1.2464,0.828,1.14756,0.4021,0.34393,0.30556,0.12379,2.13394,1.69625,1.69786,0.000759318,0.000759318,0.000759318
57,1794.19,1.2424,0.8345,1.13353,0.42773,0.31151,0.29396,0.11895,2.10827,1.76306,1.67792,0.000742815,0.000742815,0.000742815
58,1825.21,1.19725,0.79378,1.12557,0.34288,0.38992,0.32207,0.13895,1.97244,1.62167,1.6057,0.000726312,0.000726312,0.000726312
59,1855.61,1.19822,0.77696,1.13019,0.36238,0.37938,0.31612,0.13387,2.02833,1.63354,1.63595,0.000709809,0.000709809,0.000709809
60,1885.7,1.19063,0.77206,1.11885,0.3888,0.34317,0.31378,0.13184,2.06223,1.75459,1.66321,0.000693305,0.000693305,0.000693305
61,1915.28,1.19135,0.77756,1.11395,0.37142,0.35326,0.31775,0.14381,1.96926,1.639,1.58169,0.000676802,0.000676802,0.000676802
62,1948.58,1.17877,0.78561,1.10925,0.40053,0.37577,0.31403,0.13666,2.02212,1.66995,1.63312,0.000660299,0.000660299,0.000660299
63,1979.58,1.16935,0.76523,1.10653,0.37195,0.3396,0.30073,0.12927,2.05749,1.72202,1.64651,0.000643795,0.000643795,0.000643795
64,2011.21,1.17409,0.76268,1.10936,0.38672,0.29966,0.29479,0.1247,2.01806,1.73451,1.63658,0.000627292,0.000627292,0.000627292
65,2041.46,1.17724,0.75267,1.1062,0.39581,0.30518,0.29304,0.13047,2.0051,1.72583,1.63999,0.000610789,0.000610789,0.000610789
66,2071.53,1.16458,0.74753,1.10078,0.37101,0.3416,0.29874,0.12212,2.13484,1.79986,1.73555,0.000594286,0.000594286,0.000594286
67,2102.05,1.15003,0.7461,1.09792,0.33778,0.36425,0.30702,0.12935,2.0238,1.78592,1.65792,0.000577782,0.000577782,0.000577782
68,2133.11,1.12905,0.73527,1.09383,0.41011,0.34704,0.30987,0.12516,2.07695,1.81961,1.68884,0.000561279,0.000561279,0.000561279
69,2166.81,1.1359,0.73452,1.09196,0.41582,0.29698,0.28024,0.12304,2.01635,1.84206,1.6452,0.000544776,0.000544776,0.000544776
70,2197.43,1.10088,0.69118,1.07551,0.39732,0.32708,0.29352,0.12979,2.00818,1.76892,1.63999,0.000528272,0.000528272,0.000528272
71,2227.1,1.08329,0.68747,1.06473,0.35971,0.33637,0.27928,0.12121,2.03925,1.86548,1.65729,0.000511769,0.000511769,0.000511769
72,2256.64,1.10644,0.70438,1.06676,0.34777,0.34331,0.29515,0.13125,1.99335,1.76899,1.64589,0.000495266,0.000495266,0.000495266
73,2287.88,1.10681,0.69932,1.07731,0.40157,0.31436,0.28479,0.11971,2.10707,1.86616,1.70626,0.000478762,0.000478762,0.000478762
74,2318.61,1.07722,0.67992,1.05826,0.39063,0.35541,0.31125,0.13924,1.97887,1.82413,1.6231,0.000462259,0.000462259,0.000462259
75,2348.12,1.05982,0.67493,1.0582,0.37439,0.34081,0.31053,0.13735,2.00199,1.82438,1.63824,0.000445756,0.000445756,0.000445756
76,2378.08,1.08279,0.68328,1.0637,0.36134,0.32027,0.288,0.12374,2.04577,1.8167,1.69197,0.000429253,0.000429253,0.000429253
77,2410.11,1.06878,0.67148,1.05499,0.45002,0.29303,0.29372,0.12662,1.98807,1.86222,1.64283,0.000412749,0.000412749,0.000412749
78,2440.59,1.05783,0.66474,1.04752,0.34842,0.34372,0.28763,0.12798,2.01347,1.89023,1.66034,0.000396246,0.000396246,0.000396246
79,2471.25,1.03892,0.66701,1.05136,0.37512,0.34768,0.29949,0.1255,2.06507,1.92038,1.70947,0.000379743,0.000379743,0.000379743
80,2500.87,1.04045,0.66309,1.03981,0.29288,0.3535,0.30079,0.1249,2.05415,1.8437,1.69005,0.000363239,0.000363239,0.000363239
81,2531.52,1.0526,0.66114,1.04551,0.43691,0.2991,0.30324,0.13436,1.99642,1.81641,1.65683,0.000346736,0.000346736,0.000346736
82,2562.99,1.0263,0.64352,1.03324,0.42514,0.27496,0.28794,0.1248,2.01824,1.89415,1.64851,0.000330233,0.000330233,0.000330233
83,2594.06,1.02758,0.6517,1.03499,0.3886,0.32249,0.28743,0.12792,1.99595,1.8163,1.6643,0.000313729,0.000313729,0.000313729
84,2625.17,1.00228,0.63696,1.03123,0.37502,0.31853,0.28457,0.12198,2.06015,1.88123,1.69232,0.000297226,0.000297226,0.000297226
85,2655.99,1.02956,0.65299,1.04484,0.35566,0.36204,0.30095,0.12954,2.04359,1.85531,1.69635,0.000280723,0.000280723,0.000280723
86,2687.24,1.01054,0.62242,1.02922,0.40145,0.32414,0.29059,0.12754,1.99969,1.88624,1.64891,0.00026422,0.00026422,0.00026422
87,2717.98,0.9983,0.61519,1.02357,0.43539,0.30091,0.29456,0.12604,2.04149,1.90115,1.68774,0.000247716,0.000247716,0.000247716
88,2747.62,0.98374,0.61952,1.02514,0.43654,0.30637,0.29726,0.12849,2.01676,1.90295,1.67578,0.000231213,0.000231213,0.000231213
89,2776.73,0.96688,0.60805,1.01172,0.39186,0.33867,0.2978,0.12792,2.00517,1.92139,1.66128,0.00021471,0.00021471,0.00021471
90,2807.44,0.98085,0.61424,1.01799,0.33107,0.34861,0.29387,0.12894,1.99574,1.91874,1.65345,0.000198206,0.000198206,0.000198206
91,2841.19,0.97929,0.59783,1.02178,0.41854,0.28677,0.28599,0.12692,1.95545,1.87306,1.6356,0.000181703,0.000181703,0.000181703
92,2871.84,0.95109,0.55264,1.0023,0.42789,0.29864,0.29322,0.12822,2.00706,1.94513,1.66651,0.0001652,0.0001652,0.0001652
93,2901.25,0.93338,0.54815,1.00351,0.3384,0.33875,0.28954,0.12916,1.9861,1.96364,1.64165,0.000148696,0.000148696,0.000148696
94,2932.95,0.91195,0.53346,0.98584,0.35706,0.32433,0.29824,0.12991,1.98514,1.95461,1.65499,0.000132193,0.000132193,0.000132193
95,2963.61,0.89581,0.52172,0.99044,0.36069,0.34022,0.28985,0.1267,2.01148,2.00616,1.67967,0.00011569,0.00011569,0.00011569
96,2993.66,0.91697,0.5313,0.99111,0.44203,0.31474,0.29761,0.13207,1.97737,1.97458,1.65151,9.91865e-05,9.91865e-05,9.91865e-05
97,3023.46,0.88578,0.51674,0.98003,0.39046,0.31972,0.29195,0.129,1.99367,2.00835,1.66435,8.26832e-05,8.26832e-05,8.26832e-05
98,3055.07,0.88023,0.52301,0.97247,0.37417,0.32137,0.29237,0.13057,1.97744,2.02186,1.65608,6.61799e-05,6.61799e-05,6.61799e-05
99,3087.43,0.87765,0.5152,0.97797,0.43563,0.30195,0.29753,0.12949,2.00168,2.00707,1.67291,4.96766e-05,4.96766e-05,4.96766e-05
100,3116.82,0.8935,0.52603,0.99198,0.39189,0.32703,0.30174,0.13399,1.97681,2.01803,1.65983,3.31733e-05,3.31733e-05,3.31733e-05
