epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,415.698,1.35593,0.89136,1.0469,0.34393,0.30679,0.27032,0.1,2.57862,2.24716,1.61117,0.011486,0.011486,0.011486
45,426.248,1.36335,0.88107,1.04898,0.33749,0.26469,0.26654,0.09674,2.71616,2.24503,1.68531,0.011288,0.011288,0.011288
46,433.951,1.37696,0.8856,1.05305,0.36954,0.26723,0.26617,0.10389,2.53719,2.36612,1.60937,0.01109,0.01109,0.01109
47,444.833,1.35976,0.88525,1.04473,0.33564,0.28325,0.26447,0.09973,2.60556,2.27075,1.60513,0.010892,0.010892,0.010892
48,452.423,1.33838,0.85409,1.03903,0.38248,0.28334,0.2744,0.10147,2.59675,2.28202,1.62457,0.010694,0.010694,0.010694
49,462.523,1.33936,0.86668,1.04237,0.50514,0.25376,0.28228,0.09484,2.66029,2.30769,1.612,0.010496,0.010496,0.010496
50,470.647,1.31841,0.86502,1.03345,0.37259,0.23914,0.25678,0.09611,2.64813,2.21691,1.59932,0.010298,0.010298,0.010298
51,480.158,1.33134,0.85911,1.02888,0.39966,0.27458,0.27785,0.09813,2.64051,2.27874,1.56542,0.0101,0.0101,0.0101
52,489.276,1.31044,0.83549,1.02922,0.4467,0.27585,0.29522,0.10195,2.63797,2.25474,1.61476,0.009902,0.009902,0.009902
53,498.005,1.30238,0.83858,1.02298,0.3678,0.29718,0.28134,0.10539,2.57762,2.33962,1.59976,0.009704,0.009704,0.009704
54,508.19,1.28549,0.82718,1.01995,0.41417,0.2703,0.27867,0.09887,2.60367,2.22439,1.63094,0.009506,0.009506,0.009506
55,518.434,1.27865,0.81767,1.01976,0.38734,0.26874,0.27353,0.10483,2.59605,2.18811,1.62961,0.009308,0.009308,0.009308
56,528.506,1.2955,0.83313,1.02171,0.35783,0.25635,0.24829,0.08476,2.61505,2.38568,1.63301,0.00911,0.00911,0.00911
57,536.22,1.26837,0.8301,1.01951,0.3262,0.27468,0.24769,0.08495,2.70055,2.15702,1.6329,0.008912,0.008912,0.008912
58,546.081,1.25458,0.79924,1.00922,0.33904,0.31058,0.26797,0.09777,2.59557,2.2341,1.58075,0.008714,0.008714,0.008714
59,554.506,1.24278,0.79754,1.01339,0.37341,0.27743,0.27287,0.09964,2.57173,2.18731,1.58618,0.008516,0.008516,0.008516
